aircraft_name,image_type,source_url,source_domain,local_file_path
ALH Dhruv,interior,https://aviationnexus.com/wp-content/uploads/2025/01/1.jpg,aviationnexus.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\ALH Dhruv\interior_08.jpg
ALH Dhruv,interior,https://aerospaceglobalnews.com/wp-content/uploads/2025/12/HAL-DHRUV-NG-civil-helicopter-768x512.jpeg,aerospaceglobalnews.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\ALH Dhruv\interior_09.jpg
ALH Dhruv,interior,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA1TgMRa.img?w=1920&h=1080&m=4&q=60,img-s-msn-com.akamaized.net,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\ALH Dhruv\interior_10.jpg
AS350B3,interior,https://www.chugoku-np.co.jp/stp/Edit/yoshito_matsushige/img/shadow-1-min.jpg,www.chugoku-np.co.jp,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS350B3\interior_01.jpg
AS350B3,interior,https://www.chugoku-np.co.jp/mwimgs/b/6/1456m/img_b632e7085e21f6354dec47ff04ddd344404963.jpg,www.chugoku-np.co.jp,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS350B3\interior_02.jpg
AS350B3,interior,https://www.chugoku-np.co.jp/stp/Edit/yoshito_matsushige/img/jp_phone_9-30-11-00.jpg,www.chugoku-np.co.jp,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS350B3\interior_03.jpg
AS350B3,interior,https://www.chugoku-np.co.jp/mwimgs/0/e/860h/img_0e265eba221a60f0c9d6094e56b972d9123284.jpg,www.chugoku-np.co.jp,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS350B3\interior_04.jpg
AS350B3,interior,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjlj_Z-uePkZs07nKUbVD5vSSvCOOcEYDLzDEpgEE1-L6xoBtaNzV0NxmERO2itpHZ3pEnfmRWOoStaVx9xUBGpTf2rN-FcLi4mzGO2rr5GMBdqMcuRYzPJKKxXPoY6pEdEkgUi0R4C9LE/s5312/20200901_102315.jpg,blogger.googleusercontent.com,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS350B3\interior_05.jpg
AS350B3,interior,https://livedoor.blogimg.jp/rosetta1799/imgs/8/2/8239c6f2.jpg,livedoor.blogimg.jp,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS350B3\interior_06.jpg
AS350B3,interior,https://chugoku-np.ismcdn.jp/mwimgs/7/5/750w/img_75320fe6d4f03c795f2e9b3eb18fdfdb401009.jpg,chugoku-np.ismcdn.jp,C:\Users\rajsh\OneDrive\Desktop\MY First PYTHON\Aircraft_Images\AS350B3\interior_07.jpg
